web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923336,1970-01-01 00:00:01.273672506
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923336,1970-01-01 00:00:01.273672411
Mozilla,iPad,m.facebook.com,www.nasa.gov,Melaka,2.1969,102.2481,Asia/Kuala_Lumpur,1970-01-01 00:00:01.331923337,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nasa.gov,Houston,29.775499,-95.415199,America/Chicago,1970-01-01 00:00:01.331923339,1970-01-01 00:00:01.330539686
Mozilla,Windows,t.co,www.nasa.gov,Huntsville,34.719299,-86.560402,America/Chicago,1970-01-01 00:00:01.331923339,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,studentaid.ed.gov,Needham,42.279301,-71.245003,America/New_York,1970-01-01 00:00:01.331923339,1970-01-01 00:00:01.308751691
Mozilla,Windows,www.facebook.com,www.nasa.gov,Si Sa Ket,15.1167,104.333298,Asia/Bangkok,1970-01-01 00:00:01.331923341,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,t.co,www.nasa.gov,Oldenburg,53.166698,8.2,Europe/Berlin,1970-01-01 00:00:01.331923341,1970-01-01 00:00:01.331908247
Mozilla,Windows,direct,www.federalreserve.gov,Bellevue,47.615398,-122.210297,America/Los_Angeles,1970-01-01 00:00:01.331923343,1970-01-01 00:00:01.331586192
Mozilla,Windows,36ohk6dgmcd1n-c.c.yom.mail.yahoo.net,www.srh.noaa.gov,Albuquerque,35.102501,-106.611702,America/Denver,1970-01-01 00:00:01.331923342,1970-01-01 00:00:01.331007307
Mozilla,Windows,www.facebook.com,www.nasa.gov,Crespellano,44.516701,11.1167,Europe/Rome,1970-01-01 00:00:01.331923342,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,www.facebook.com,www.jpl.nasa.gov,Yalaha,28.734699,-81.819702,America/New_York,1970-01-01 00:00:01.331923343,1970-01-01 00:00:01.331750914
